path,type,size_bytes,git_status,sha256,referenced_by_count,referenced_by,likely_role,classification,proposed_action,confidence,notes
DIAS latex paper/figures/FinalArc.drawio.svg,file,74015,untracked,49aa490a926f3e71db059ea85cec87dd893eabf6d891fc790b64afa09382c404,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/figures/Finalarc.pdf,file,68952,untracked,7ab939a922be82325f2dbe43aae4c84964aae55eadda328ee840315421742404,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/Finalarc.pdf
DIAS latex paper/figures/Finalarc_fixed.pdf,file,209863,untracked,cedf7e6717009e2ec853496a8b8949b34d36179ad8d1a114f27b7ee9cc226ee3,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/figures/architecture_aligned.svg,file,10738,untracked,f294e42b23513c57ac85da6d005d32c781f833065d7a99b7387a44bd7d78391a,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/architecture_aligned.svg
DIAS latex paper/figures/caliper/caliper_latency_five_panel.pdf,file,38155,untracked,d1c60240f7e71f4c382a1b3212e134b73773ea6cab2e671cad8e9d9d0ba5020e,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/caliper/caliper_latency_five_panel.pdf; output/overleaf/SEBA_XAI_Overleaf_Package/figures/caliper/caliper_latency_five_panel.pdf; papers/final_paper/figures/caliper/caliper_latency_five_panel.pdf
DIAS latex paper/figures/caliper/concurrent_clients_vs_lookup_latency.pdf,file,24737,untracked,d3757593914f31aabedde626c0c5b5b7f8133464dd8a8f8aa29d0c222e09cbb5,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/caliper/concurrent_clients_vs_lookup_latency.pdf; output/overleaf/SEBA_XAI_Overleaf_Package/figures/caliper/concurrent_clients_vs_lookup_latency.pdf; papers/final_paper/figures/caliper/concurrent_clients_vs_lookup_latency.pdf; results/plots/caliper-latency/concurrent_clients_vs_lookup_latency.pdf
DIAS latex paper/figures/caliper/elapsed_time_vs_latency.pdf,file,26486,untracked,6b991aebe11d06242a267da144ced5d7dd16fbab596e4674b8576301d04799a0,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/caliper/elapsed_time_vs_latency.pdf; output/overleaf/SEBA_XAI_Overleaf_Package/figures/caliper/elapsed_time_vs_latency.pdf; papers/final_paper/figures/caliper/elapsed_time_vs_latency.pdf; results/plots/caliper-latency/elapsed_time_vs_latency.pdf
DIAS latex paper/figures/caliper/offered_tps_vs_write_latency.pdf,file,23619,untracked,4b9c8388fe61420ef7a3ca3f5c70b75ba9768bcdb3feb66c53fe79a7abf01a14,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/caliper/offered_tps_vs_write_latency.pdf; output/overleaf/SEBA_XAI_Overleaf_Package/figures/caliper/offered_tps_vs_write_latency.pdf; papers/final_paper/figures/caliper/offered_tps_vs_write_latency.pdf; results/plots/caliper-latency/offered_tps_vs_write_latency.pdf
DIAS latex paper/figures/caliper/policy_path_vs_latency.pdf,file,25255,untracked,5d52d54d5414729ede6952731bc01c70aac6790a3c783ae27f7726021f69cb95,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/caliper/policy_path_vs_latency.pdf; output/overleaf/SEBA_XAI_Overleaf_Package/figures/caliper/policy_path_vs_latency.pdf; papers/final_paper/figures/caliper/policy_path_vs_latency.pdf; results/plots/caliper-latency/policy_path_vs_latency.pdf
DIAS latex paper/figures/caliper/query_result_count_vs_latency.pdf,file,23849,untracked,89a9270ffedea4ee7ae38ff405fbbe98ef34d3ec01a7a818dd2dae84d0b5dfb2,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/caliper/query_result_count_vs_latency.pdf; output/overleaf/SEBA_XAI_Overleaf_Package/figures/caliper/query_result_count_vs_latency.pdf; papers/final_paper/figures/caliper/query_result_count_vs_latency.pdf; results/plots/caliper-latency/query_result_count_vs_latency.pdf
DIAS latex paper/figures/dias-concurrent-latency-throughput.pdf,file,19423,untracked,41e6f30d98ec2e3a52ebb4c9981f003732a2f20c515a8d709f524c5290b2459f,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: output/overleaf/DIAS_Experimental_Results_Exact_Filenames/dias-concurrent-latency-throughput.pdf; papers/final_paper/figures/dias-concurrent-latency-throughput.pdf; results/plots/dias-overnight/03_concurrent_user_latency_throughput.pdf
DIAS latex paper/figures/dias-model-failure-unsafe-allow.pdf,file,27772,untracked,dac66519060d6501d0da18463258802f0ef8df5ce88a554c62c92497f990aad0,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: papers/final_paper/figures/dias-model-failure-unsafe-allow.pdf; results/plots/dias-overnight/04_model_failure_unsafe_allow.pdf
DIAS latex paper/figures/dias-recommendation-quality.pdf,file,20570,untracked,f8071b8cb2ce51f088d0c720678b53a7220371cad3ac27d4547e67b8949807ea,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: papers/final_paper/figures/dias-recommendation-quality.pdf; results/plots/dias-overnight/01_recommendation_quality.pdf
DIAS latex paper/figures/dias-scope-safety-efficiency.pdf,file,19372,untracked,74720632521f8c814bec8b56008e74643d3d7c8a8482040599c3bb252d59db47,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: papers/final_paper/figures/dias-scope-safety-efficiency.pdf; results/plots/dias-overnight/02_scope_safety_efficiency.pdf
DIAS latex paper/figures/dias_intro.pdf,file,98741,untracked,a43d6282a5519e7c6028d63f04fdee3b50ce05b9c3eefd0f7799236cb7a5a1b1,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/dias_intro::.pdf
DIAS latex paper/figures/dias_intro.svg,file,10390,untracked,f65a2e9d93bc061fb640fbd4ac86857270c59c1da3975f3c5a829effbab5c6c1,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/figures/interface/file_record.jpg,file,63359,untracked,e3c010aab6ae81d06d7d6814e702f58dbf352041499c6ef0c6b1932e07939796,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/interface/file_record.jpg; output/overleaf/SEBA_XAI_Overleaf_Package/figures/interface/file_record.jpg; results/plots/interface/file_record.jpg
DIAS latex paper/figures/interface/search_access_decision.jpg,file,94476,untracked,cc380d7fd3b9f42940e57ec818c1b9b4641c14e973c7859558f9463f9f62114b,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/interface/search_access_decision.jpg; output/overleaf/SEBA_XAI_Overleaf_Package/figures/interface/search_access_decision.jpg; results/plots/interface/search_access_decision.jpg
DIAS latex paper/figures/results/100UsersLatency.pdf,file,28513,untracked,5a2b2d35eb9c86a6ef6c17e684c2d3a61813f7213500f5d00d6bfac3cdb7759f,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/figures/results/100UsersLatency.pdf; output/overleaf/SEBA_XAI_Overleaf_Package/figures/results/latency_three_panel_by_users.pdf; results/plots/ui-unique-user-latency/latency_three_panel_by_users.pdf
DIAS latex paper/main.tex,file,5245,untracked,78bc03782126e366d00ac8d32c99a77b89249e05430dcb2c1f5b11b67253dcf0,1,experiments/plans/20260916_dias_claim_aligned_results.md,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/main_old.pdf,file,325964,untracked,60b44a6ed50b6203e92c196006e0234e11a990c6395416cae62a417ebee2b135,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.; identical content: Proof reading/main_old.pdf
DIAS latex paper/sections/Abstract.tex,file,4858,untracked,a56b1a9a158d73506c8da965a8283ff0fb76e64b8d4be41900b998fc1aff39d8,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/sections/Conclusion.tex,file,4562,untracked,b8af0e65eabf9583e3ea14407dff694e05c0835fab8bafb4a2fc48fe13c7db8d,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/sections/Ethics.tex,file,0,untracked,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/sections/Implementation.tex,file,9928,untracked,8c84c55dc022503b915798daac963eaef729100261d9a518125b74bc2575e80d,0,,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/sections/Introduction.tex,file,6897,untracked,4fdba76723873a316a0ed9e73b0a1d3a5c6e81a51ca07ce67835048e245c3c52,1,experiments/plans/20260916_dias_latex_writing_revision.md,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/sections/Methodology.tex,file,9911,untracked,71fa6edd0a7403f57ef7b56c8422e7cfe2fc6b9a8939e9cbd744eb3b26d9eb5e,1,experiments/plans/20260916_dias_latex_writing_revision.md,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/sections/RelatedWork.tex,file,6550,untracked,5d52ee0b947a61a85c488a8eb183e058edd90460364b418dfe8afcd1c6ecae4c,1,experiments/plans/20260916_dias_latex_writing_revision.md,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
DIAS latex paper/sections/Results.tex,file,17798,untracked,1fa11e6598513aebc54e156907143d7047163b001dc2f6200f5826e149cf546f,2,experiments/dias/verify-overnight-results.js; experiments/runs/20260917_dias_overnight_summary/verification.json,earlier Overleaf download (2026-09-16),superseded-draft,move:trashy/superseded-paper-drafts/,high,Superseded by the 2026-09-17 download; retains supervisor notes later removed on Overleaf.
LICENSE,file,10139,tracked-clean,85d0050ede0b1095c661b9d02c7afeafb76ab33cb0659d31201fe8c45daa361e,0,,root documentation/configuration,canonical-doc,keep,high,
LLMxAI/.env.example,file,344,tracked-clean,1faf190d26abaacb14759b80aa5e8c321a2bb0403a454908cd03788fd4115ba9,0,,SEAL-era standalone LLM runtime and data,historical-evidence,keep,medium,Hosts the DIAS adapter directory referenced by Makefile and run records.
LLMxAI/.gitignore,file,61,tracked-clean,5b3cc08e93b915c8cd11fa16b514cfe325f0e1962a4125aa7164ec852e16d62e,0,,SEAL-era standalone LLM runtime and data,historical-evidence,keep,medium,Hosts the DIAS adapter directory referenced by Makefile and run records.
LLMxAI/2511.20284v2.pdf,file,1014655,tracked-clean,3b588b6687ae045deeeeac9af61b79fc95b32c41667e001d3604d68e34ec15ca,2,LLMxAI/README.md; LLMxAI/reports/iteration/iter_001_standalone_extraction.md,downloaded third-party paper,third-party-copyrighted,move:trashy/third-party-papers/,high,arXiv full text; redistribution rights not established.; identical content: papers/reference_library/01_cited_in_current_manuscript/Groschupp2025.pdf; reports/research/20260905_related_work/llm_sources/groschupp_2511.20284v2.pdf
LLMxAI/README.md,file,7009,tracked-clean,6fd283357a1109f970f098162e711206670ac993beeaeed8edb49909b94a68eb,0,,SEAL-era standalone LLM runtime and data,historical-evidence,keep,medium,Hosts the DIAS adapter directory referenced by Makefile and run records.
LLMxAI/data/profiles.json,file,1731,tracked-clean,f13890e57f1baa9aa391bb9e69b057efcdaecfb24accd755ea3a0ff3851d5e58,2,LLMxAI/README.md; LLMxAI/src/registry.js,SEAL-era standalone LLM runtime and data,historical-evidence,keep,medium,Hosts the DIAS adapter directory referenced by Makefile and run records.
LLMxAI/data/resources.json,file,1766,tracked-clean,09efa5a6a4f3e3d8ac6c42ffc1c04cbc7ee48caf17985b8e8a89589e1fb53157,2,LLMxAI/README.md; LLMxAI/src/registry.js,SEAL-era standalone LLM runtime and data,historical-evidence,keep,medium,Hosts the DIAS adapter directory referenced by Makefile and run records.
LLMxAI/experiments/llm_policy_engine/README.md,file,3595,tracked-clean,9746aebde046732d1f3180e911c33c8c739fea44c9ac529b6bce7f258e8d2aa9,0,,SEAL-era standalone LLM runtime and data,historical-evidence,keep,medium,Hosts the DIAS adapter directory referenced by Makefile and run records.
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v1-smoke/adapter_config.json,file,1117,tracked-clean,4f52db5f88136367365d4a5192a92c29200386443d6eafa39ac2e7e91562c841,0,,adapter configuration and selection records,canonical-evidence,keep,high,
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/0000200_adapters.safetensors,file,51404480,ignored,840b8b8704dc2f302566eab1b25f6e14d3033d164db9d24cdf679f0c785d065a,2,experiments/runs/20260912_dias_qwen3_lora_v7_r8/training-metrics.json; experiments/runs/20260912_dias_qwen3_lora_v7_r8/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/0000400_adapters.safetensors,file,51404480,ignored,2d7bd35dc3e10c36d1ed2447a63d0523a80b3d240f9e145d2094497ef96ecf73,2,experiments/runs/20260912_dias_qwen3_lora_v7_r8/training-metrics.json; experiments/runs/20260912_dias_qwen3_lora_v7_r8/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/0000600_adapters.safetensors,file,51404480,ignored,9887a964f78a945f8344cfefae0caaec609557a7745d31f449a63aec113151ab,3,LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-seba-lora-v3-best/selection.json; experiments/runs/20260912_dias_qwen3_lora_v7_r8/training-metrics.json; experiments/runs/20260912_dias_qwen3_lora_v7_r8/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/0000800_adapters.safetensors,file,51404480,ignored,54603e9f37873acf7b0a1c8171cb2f042ee14e3bec48573068b157e01f60010c,2,experiments/runs/20260912_dias_qwen3_lora_v7_r8/training-metrics.json; experiments/runs/20260912_dias_qwen3_lora_v7_r8/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/0001000_adapters.safetensors,file,51404480,ignored,5b5f6622f7ee47993c6b4ad3314f3025753d505deea624e494a6551195d6691e,1,experiments/runs/20260912_dias_qwen3_lora_v7_r8/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/0001200_adapters.safetensors,file,51404480,ignored,7e299a2726ddcb766b740fe4ba8a4a6b5a447701cdd72c6237406882d9a1fdc7,2,experiments/runs/20260912_dias_qwen3_lora_v7_r8/training-metrics.json; experiments/runs/20260912_dias_qwen3_lora_v7_r8/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/0001400_adapters.safetensors,file,51404480,ignored,fb86e9e1ac1a5f4a74ea030a373382647136f6a292017ccdc692bfb317483803,2,experiments/runs/20260912_dias_qwen3_lora_v7_r8/training-metrics.json; experiments/runs/20260912_dias_qwen3_lora_v7_r8/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/0001600_adapters.safetensors,file,51404480,ignored,2a159c9c13be4607852575230349081a8b7ad80b7a1e53da3a063dc2297d0aa6,2,experiments/runs/20260912_dias_qwen3_lora_v7_r8/training-metrics.json; experiments/runs/20260912_dias_qwen3_lora_v7_r8/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.; identical content: LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/adapters.safetensors
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/adapter_config.json,file,1145,tracked-clean,03b59c0591dbba927f7902ebbff2b5fd46a617459e54cd8a423401a3e766ebf2,0,,adapter configuration and selection records,canonical-evidence,keep,high,
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/adapters.safetensors,file,51404480,ignored,2a159c9c13be4607852575230349081a8b7ad80b7a1e53da3a063dc2297d0aa6,1,experiments/runs/20260912_dias_qwen3_lora_v7_r8/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.; identical content: LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-r8/0001600_adapters.safetensors
LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-smoke/0000012_adapters.safetensors,file,51404480,ignored,b5f4670f9d863c9864e8fed7e829265855117e2dbe983eb886858044f4651a15,1,experiments/runs/20260912_dias_qwen3_lora_smoke_v7/training.log,LoRA adapter weights,model-weights,keep-ignored,high,Identified by SHA-256 in run records; weights are not stored in Git.; identical content: LLMxAI/experiments/llm_policy_engine/adapters/qwen3-14b-dias-lora-v7-smoke/adapters.safetensors
